"","GPNJ7M_10_sample_2B","GPNJ7M_11_sample_2C","GPNJ7M_12_sample_2D","GPNJ7M_13_sample_2E","GPNJ7M_14_sample_2F","GPNJ7M_15_sample_2G","GPNJ7M_16_sample_2H","GPNJ7M_1_sample_1A","GPNJ7M_2_sample_1B","GPNJ7M_3_sample_1C","GPNJ7M_4_sample_1D","GPNJ7M_5_sample_1E","GPNJ7M_6_sample_1F","GPNJ7M_7_sample_1G","GPNJ7M_8_sample_1H","GPNJ7M_9_sample_2A"
"PTI98_010687",4.59404845974939,3.10919314935743,3.71012912026891,4.48148369476499,2.85399055322697,2.51641463307867,2.42364419925285,5.78409716942581,1.81948386060291,-0.435236143934275,4.97594741377242,4.17237808701491,3.25200984814556,4.87677640032629,5.21647862241417,4.30485905152655
"PTI98_010693",2.36613314755691,3.72697526840957,3.61501545379865,3.56987817648774,1.87196421417127,2.77009060530788,2.09428328572813,4.69188576353693,1.81948386060291,-0.435236143934275,3.83814168728677,2.61530921183041,2.31366048756776,2.34470285367427,2.06453906395029,3.77061047504498
"PTI98_010698",2.36613314755691,4.98305336210808,5.01132285243173,2.72629527260855,4.56050688589012,3.61820257303069,4.73668280735621,3.53923955358563,3.63947691761807,-0.435236143934275,3.97585541987733,3.59617910560508,3.9867628443069,4.8109919132455,4.45044404718787,2.13988040407563
"PTI98_010704",2.36613314755691,4.04686491393463,4.30443815537605,4.09679554709464,4.32888460441754,3.61820257303069,3.62409661673543,3.12964544256689,4.41290443387389,-0.435236143934275,3.68579444780808,2.29902449796855,2.76599995870132,3.491346166475,3.13535465019864,4.06242286201243
"PTI98_010705",5.86313488566533,6.13596628051378,6.34624533465317,6.00277487983363,5.68863594361096,5.08739185784626,5.73865262145289,5.44856526006256,5.43857889598525,5.51421141575309,5.37428012256262,5.25480990545898,6.01147355450058,5.37853398221665,5.34281735112691,5.96612390560898
"PTI98_010708",4.59404845974939,4.30834003568704,3.28460644398429,-0.435236143934275,3.57542486080888,4.83656684328898,2.97535060628395,3.3891939259705,4.25500764668879,3.6431958178817,4.76453481855151,4.58256919372318,2.76599995870132,3.83897042288949,4.95147066492036,3.77061047504498
"PTI98_010711",5.15000854948688,3.79691186903517,-0.435236143934275,4.48148369476499,3.71042901410358,2.20605879949126,4.08644374638921,2.99712091864416,2.53493591875653,6.30167165805424,4.10151252774437,4.78222072044166,3.1077389542879,3.77124951672693,5.51371822525161,5.13084481366333
"PTI98_010713",4.05104436923576,2.214128008914,3.71012912026891,2.72629527260855,3.71042901410358,3.48424771564003,5.12470260297598,2.87004404980225,3.00488262121418,-0.435236143934275,2.83153991602868,2.61530921183041,3.61369429179039,2.90954206213402,2.41826617063623,3.77061047504498
"PTI98_010718",-0.435236143934275,3.65345139699724,2.4702091161562,2.72629527260855,2.85399055322697,3.33643591219775,3.04947354088931,2.88891149064488,4.25500764668879,3.6431958178817,2.07284359130655,4.07416968515971,3.3830102146088,3.06934500494708,2.93427981693571,3.77061047504498
"PTI98_010727",4.98741520838932,3.31453794824163,4.36403186183643,4.09679554709464,4.24257936347749,3.74069312818964,4.22950580957741,5.59796053685774,3.00488262121418,4.55911037151993,5.16027587308028,5.11382525545031,4.28263026137989,5.31669187134061,4.95147066492036,4.99928765405488
"PTI98_010728",5.15000854948688,6.34826474846908,5.8174201638199,5.24838706946991,5.23223025203709,6.51550137002167,5.6773712790382,5.06078906921248,5.9310972581676,4.55911037151993,5.51621758164729,5.46289373344246,5.19324635773418,5.21017190122462,4.89757772735453,5.36263325341025
"PTI98_010744",7.06461677725371,8.73163060630234,8.45868262024997,6.49555022103459,7.85925816324557,7.92028070082823,7.10178185250748,6.67349405368837,8.48682639735717,7.28817774971047,7.08535886430118,7.29125483663441,7.51879153171913,6.68511408730327,6.83658223230717,7.01867864018144
"PTI98_010754",2.36613314755691,3.65345139699724,3.01232600861674,2.72629527260855,2.59691650049087,2.98497436653077,3.46061104355555,3.26531826519523,1.81948386060291,-0.435236143934275,-0.435236143934275,3.85498502105491,2.94715333139559,4.04408644487656,3.73807029612316,4.06242286201243
