"","GPNJ7M_11_sample_2C","GPNJ7M_12_sample_2D","GPNJ7M_14_sample_2F","GPNJ7M_15_sample_2G","GPNJ7M_16_sample_2H","GPNJ7M_1_sample_1A","GPNJ7M_2_sample_1B","GPNJ7M_4_sample_1D","GPNJ7M_5_sample_1E","GPNJ7M_6_sample_1F","GPNJ7M_7_sample_1G","GPNJ7M_8_sample_1H"
"AAD021_009248",1.15306867684101,0,0,0,0.196481435278197,0.311014451651558,0,0,0,0,0.320723967404706,0.986788606076158
"AAD021_009249",1.15306867684101,4.91266731557024,2.02852830077597,5.51599476893374,2.61975247037596,6.84231793633428,3.60336332728325,0,4.21716716226551,11.0656980184378,7.69737521771295,4.93394303038079
"AAD021_009250",2.30613735368203,3.2751115437135,0,7.35465969191165,1.11339479990978,11.3520274852819,0,21.2596280159847,10.5429179056638,11.0656980184378,4.81085951107059,4.93394303038079
"AAD021_009251",18.4490988294562,29.4760038934215,26.3708679100877,27.5799738446687,18.6657363514287,23.94811277717,7.2067266545665,26.5745350199809,27.4115865547258,22.1313960368757,31.4309488056612,31.5772353944371
"AAD021_009252",0,3.2751115437135,20.2852830077597,22.063979075735,18.9277115984663,7.93086851711474,25.2235432909828,2.65745350199809,16.8686686490621,3.16162800526796,7.05592728290354,5.92073163645695
"AAD021_009253",2.30613735368203,4.91266731557024,2.02852830077597,1.83866492297791,2.22678959981957,5.59826012972805,0,2.65745350199809,10.5429179056638,7.90407001316989,7.05592728290354,4.93394303038079
"AAD021_009254",0,0,2.02852830077597,0,0.458456682315794,1.55507225825779,0,0,0,3.16162800526796,0.962171902214119,0.986788606076158
"AAD021_009255",20.7552361831383,13.100446174854,12.1711698046558,7.35465969191165,7.0733316700151,7.15333238798584,7.2067266545665,2.65745350199809,4.21716716226551,4.74244200790193,8.01809918511766,7.89430884860927
"AAD021_009256",47.2758157504816,24.5633365778512,10.1426415038799,5.51599476893374,4.97752969371433,35.6111547141034,0,18.6021745139866,16.8686686490621,42.6819780711174,11.2253388591647,32.5640240005132
"AAD021_009257",14.9898927989332,18.0131134904242,10.1426415038799,0,4.97752969371433,2.9546372906898,3.60336332728325,0,6.32575074339827,3.16162800526796,1.92434380442824,5.92073163645695
"AAD021_009258",2.30613735368203,0,0,1.83866492297791,1.96481435278197,3.26565174234136,3.60336332728325,0,2.10858358113276,4.74244200790193,1.92434380442824,1.97357721215232
"AAD021_009259",2.30613735368203,0,0,0,0.785925741112789,2.17710116156091,0,0,0,1.58081400263398,4.16941157626118,0
"AAD021_009260",0,0,0,0,0.196481435278197,0,0,0,0,0,0.320723967404706,0
"AAD021_009261",0,0,2.02852830077597,0,0.130987623518798,0,0,0,0,0,0,0
"AAD021_009262",5.76534338420507,1.63755577185675,4.05705660155195,3.67732984595582,3.73314727028575,4.82072400059915,0,5.31490700399617,2.10858358113276,4.74244200790193,2.56579173923765,5.92073163645695
"AAD021_009263",11.5306867684101,1.63755577185675,6.08558490232792,3.67732984595582,5.30499875251133,6.6868107105085,0,2.65745350199809,4.21716716226551,7.90407001316989,6.41447934809412,2.96036581822848
"AAD021_009264",5.76534338420507,3.2751115437135,8.11411320310389,3.67732984595582,2.61975247037596,4.04318787147026,0,5.31490700399617,2.10858358113276,7.90407001316989,2.88651570664236,4.93394303038079
"AAD021_009265",0,0,2.02852830077597,1.83866492297791,0.982407176390986,0.777536129128896,0,0,0,0,1.60361983702353,0.986788606076158
"AAD021_009266",2.30613735368203,1.63755577185675,0,3.67732984595582,1.89932054102257,7.61985406546318,0,0,10.5429179056638,39.5203500658494,6.73520331549883,13.8150404850662
"AAD021_009267",0,0,0,0,1.04790098815039,0.466521677477337,0,0,0,1.58081400263398,0.320723967404706,1.97357721215232
"AAD021_009268",0,0,0,0,0.130987623518798,0,0,0,0,0,0,0
"AAD021_009269",1.15306867684101,3.2751115437135,4.05705660155195,0,4.51907301139854,2.64362283903825,0,0,0,0,0.962171902214119,1.97357721215232
"AAD021_009270",0,0,0,0,0,0,0,0,0,0,0,0.986788606076158
"AAD021_009271",0,0,0,0,0,0.777536129128896,0,0,0,0,0,0
"AAD021_009272",0,0,0,0,0.785925741112789,0.622028903303117,0,0,0,0,0,0
"AAD021_009273",1.15306867684101,3.2751115437135,0,1.83866492297791,2.61975247037596,4.35420232312182,0,2.65745350199809,0,1.58081400263398,2.24506777183294,2.96036581822848
"AAD021_009274",23.0613735368203,21.2882250341377,16.2282264062078,18.3866492297791,10.9374665638196,18.0388381957904,21.6201799636995,23.9170815179828,18.9772522301948,26.8738380447776,20.8470578813059,22.6961379397516
"AAD021_009275",3.45920603052304,0,0,0,0.196481435278197,1.24405780660623,0,2.65745350199809,0,3.16162800526796,0,0
"AAD021_009276",0,0,2.02852830077597,0,0.458456682315794,0,3.60336332728325,0,0,0,0,0
"AAD021_009277",10.3776180915691,8.18777885928374,0,1.83866492297791,0.654938117593991,2.79913006486403,0,0,4.21716716226551,0,3.20723967404706,0.986788606076158
"AAD021_009278",1.15306867684101,0,0,0,0.589444305834592,0.933043354954675,0,0,2.10858358113276,1.58081400263398,0.320723967404706,0
"AAD021_009279",0,1.63755577185675,2.02852830077597,0,0.785925741112789,0.466521677477337,0,0,0,0,1.92434380442824,0
"AAD021_009280",0,0,0,0,0.0654938117593991,0.311014451651558,0,0,0,4.74244200790193,2.24506777183294,0
"AAD021_009281",1.15306867684101,0,18.2567547069838,5.51599476893374,6.41839355242111,10.4189841303272,7.2067266545665,5.31490700399617,2.10858358113276,7.90407001316989,6.73520331549883,12.8282518789901
"AAD021_009282",0,0,0,0,0.261975247037596,0.311014451651558,0,0,0,0,0,0
"AAD021_009283",8.0714807378871,16.3755577185675,26.3708679100877,31.2573036906245,22.1369083746769,30.3239090360269,25.2235432909828,37.2043490279732,35.8459208792569,14.2273260237058,30.7895008708518,35.5243898187417
"AAD021_009284",5.76534338420507,11.4628904029972,12.1711698046558,1.83866492297791,5.82894924658652,18.3498526474419,18.0168166364163,7.97236050599426,16.8686686490621,7.90407001316989,9.30099505473648,9.86788606076158
"AAD021_009285",196.021675062972,117.904015573686,50.7132075193993,55.1599476893374,36.4800531499853,16.4837659375326,57.653813236532,34.5468955259751,48.4974223660534,58.4901180974572,28.5444330990189,27.6300809701324
"AAD021_009286",9.22454941472811,22.9257808059945,8.11411320310389,1.83866492297791,6.22191211714291,22.0820260672606,10.8100899818498,13.2872675099904,6.32575074339827,11.0656980184378,14.1118545658071,16.7754063032947
"AAD021_009287",1.15306867684101,0,0,1.83866492297791,2.35777722333837,2.64362283903825,0,0,6.32575074339827,0,3.84868760885647,2.96036581822848
"AAD021_009288",29.9797855978664,27.8384481215647,24.3423396093117,22.063979075735,47.0900506550079,31.4124596168074,14.413453309133,37.2043490279732,18.9772522301948,37.9395360632155,19.8848859790918,33.5508126065894
"AAD021_009289",0,1.63755577185675,2.02852830077597,5.51599476893374,5.37049256427073,0.622028903303117,0,2.65745350199809,4.21716716226551,0,2.88651570664236,0.986788606076158
"AAD021_009290",0,0,0,0,0.0654938117593991,0.155507225825779,0,0,0,0,0,0
"AAD021_009291",1.15306867684101,0,0,0,0.982407176390986,1.08855058078045,0,0,0,0,0.320723967404706,0
"AAD021_009292",4.61227470736406,1.63755577185675,12.1711698046558,1.83866492297791,9.30012126983467,4.5097095489476,3.60336332728325,7.97236050599426,12.6515014867965,4.74244200790193,5.77303141328471,6.90752024253311
"AAD021_009293",0,3.2751115437135,34.4849811131915,16.5479843068012,109.309171826437,4.66521677477338,7.2067266545665,0,6.32575074339827,6.32325601053591,3.52796364145177,0
"AAD021_009294",0,0,0,0,0,0,0,0,0,0,0.641447934809412,0
"AAD021_009295",0,0,2.02852830077597,0,1.04790098815039,2.48811561321247,0,0,2.10858358113276,1.58081400263398,2.24506777183294,0
"AAD021_009296",10.3776180915691,3.2751115437135,4.05705660155195,0,4.78104825843613,5.28724567807649,0,2.65745350199809,4.21716716226551,0,6.41447934809412,4.93394303038079
"AAD021_009297",0,0,2.02852830077597,0,0.982407176390986,0.622028903303117,0,0,0,3.16162800526796,0.962171902214119,0
"AAD021_009298",3.45920603052304,6.55022308742699,8.11411320310389,16.5479843068012,16.4389467516092,15.5507225825779,14.413453309133,10.6298140079923,6.32575074339827,15.8081400263398,11.5460628265694,7.89430884860927
"AAD021_009299",0,0,0,1.83866492297791,0.392962870556395,2.33260838738669,0,0,0,1.58081400263398,2.24506777183294,0
"AAD021_009300",3.45920603052304,8.18777885928374,4.05705660155195,1.83866492297791,0.982407176390986,2.48811561321247,0,0,2.10858358113276,1.58081400263398,2.88651570664236,4.93394303038079
"AAD021_009301",0,3.2751115437135,16.2282264062078,0,8.97265221103767,2.64362283903825,0,5.31490700399617,0,0,0,1.97357721215232
"AAD021_009302",24.2144422136613,26.200892349708,8.11411320310389,12.8706544608454,15.7840086340152,44.6305738119986,18.0168166364163,66.4363375499522,37.9545044603896,93.2680261554047,18.2812661420683,22.6961379397516
"AAD021_009303",2.30613735368203,8.18777885928374,40.5705660155195,14.7093193838233,28.2933266800604,22.8595621963895,28.826906618266,10.6298140079923,25.3030029735931,15.8081400263398,4.81085951107059,10.8546746668377
"AAD021_009304",12.6837554452512,6.55022308742699,20.2852830077597,18.3866492297791,28.2933266800604,90.6607126564293,18.0168166364163,37.2043490279732,10.5429179056638,67.975002113261,12.5082347287835,7.89430884860927
"AAD021_009305",46.1227470736406,6.55022308742699,0,0,0.196481435278197,15.5507225825779,0,5.31490700399617,8.43433432453103,689.234905148414,2.24506777183294,5.92073163645695
"AAD021_009306",8.0714807378871,18.0131134904242,8.11411320310389,5.51599476893374,8.51419552872188,16.4837659375326,7.2067266545665,5.31490700399617,0,4.74244200790193,14.1118545658071,23.6829265458278
"AAD021_009307",12.6837554452512,4.91266731557024,4.05705660155195,7.35465969191165,6.61487498769931,6.37579625885695,3.60336332728325,10.6298140079923,8.43433432453103,1.58081400263398,7.69737521771295,3.94715442430463
"AAD021_009308",1.15306867684101,1.63755577185675,0,7.35465969191165,5.63246781130832,2.02159393573513,3.60336332728325,0,4.21716716226551,4.74244200790193,2.56579173923765,5.92073163645695
"AAD021_009309",10.3776180915691,3.2751115437135,0,1.83866492297791,1.17888861166918,8.2418829687663,0,0,6.32575074339827,1.58081400263398,10.5838909243553,11.8414632729139
