"","GPNJ7M_10_sample_2B","GPNJ7M_11_sample_2C","GPNJ7M_12_sample_2D","GPNJ7M_13_sample_2E","GPNJ7M_14_sample_2F","GPNJ7M_15_sample_2G","GPNJ7M_16_sample_2H","GPNJ7M_1_sample_1A","GPNJ7M_2_sample_1B","GPNJ7M_3_sample_1C","GPNJ7M_4_sample_1D","GPNJ7M_5_sample_1E","GPNJ7M_6_sample_1F","GPNJ7M_7_sample_1G","GPNJ7M_8_sample_1H","GPNJ7M_9_sample_2A"
"AAD021_000497",4.97257730580277,3.85278938502979,5.14859754989393,5.04092536618427,6.22446457492031,5.80027075353644,5.67216679714406,4.84247184412472,5.68129341124477,5.04931403649902,4.61201509733921,4.70615909658993,5.92768455961406,4.50388964215065,5.55964540166632,4.87937652594356
"AAD021_000504",2.2730203786878,1.64180602069077,3.42968955551606,3.54723722748604,2.55784646883169,2.1096287045258,2.89110351167003,4.05709552600575,2.87661873293517,-0.849599961798614,2.44165011187967,3.234535746233,2.46315065780362,3.7854289932541,3.67127782764956,3.39578135259504
"AAD021_000506",3.11247074303513,4.60290164255613,2.66656282003973,-0.849599961798614,4.35174199110841,4.37564595673199,3.80259082418701,2.898604494143,4.59157692058654,-0.849599961798614,3.0655990284925,4.24446744518566,3.76295053541378,3.76307169229688,3.05088396244325,3.39578135259504
"AAD021_000535",3.63768765749033,4.10968540813067,3.17110242338522,3.54723722748604,4.65828000276758,3.7118329476637,4.35592549580744,3.13083176071604,3.7697658910408,-0.849599961798614,3.83051301806627,3.03856619810308,3.03714120054141,4.18901335647414,2.95038530398444,2.88058282650849
"AAD021_000536",6.33336625896616,5.76928620886936,5.55245966917,5.44393063673322,5.55443561265613,6.84196789771754,6.50652155041969,4.58847631685918,6.93604422928856,5.76706706073081,5.92972302610593,5.89360880409,6.26545034343439,4.7955335692533,5.43561910469705,6.19995617730367
"AAD021_000545",2.2730203786878,4.27613945589907,3.17110242338522,3.54723722748604,4.51314688178356,3.93463791532804,5.00278212840321,2.40894805354742,4.92548910158479,3.55512843459459,3.0655990284925,3.03856619810308,2.87026501405559,2.21482091260768,2.1273534078737,2.88058282650849
"AAD021_000551",-0.849599961798614,2.58020537725093,3.42968955551606,2.6701298646917,3.96182930295116,3.82754550950395,4.39061944602321,3.00278229584448,4.31639107937332,-0.849599961798614,3.0655990284925,3.5607508395755,3.18655649211344,2.45925622250555,1.92740901484556,2.88058282650849
"AAD021_000554",3.63768765749033,3.98696200075265,3.54337348919274,-0.849599961798614,3.4252736482078,4.37564595673199,2.66269966337675,2.55383449075354,2.87661873293517,3.55512843459459,3.0655990284925,3.69970860278022,4.02285611665401,3.08451699282821,3.31590110641469,4.0731878158956
"AAD021_000556",3.63768765749033,3.2502032941675,2.44888836757141,2.6701298646917,4.16994352851913,2.1096287045258,3.81116093718215,4.28679323101722,2.38826358887523,-0.849599961798614,4.98896807243621,4.15077674118598,3.32184357444589,3.62109371031593,4.10314472718097,4.32075268947775
"AAD021_000576",6.11425516042108,6.44107572065554,6.12611644630463,6.42559757610677,6.66311597585683,6.69759360780544,7.1938800650524,5.84523136033928,7.28469788554113,4.48784564367212,6.02982617625588,6.13273034905134,6.28208383923642,6.14898815334655,6.36955827093519,6.67029501623306
"AAD021_000579",4.02144634602583,2.39785397172041,3.54337348919274,2.6701298646917,4.26370928077068,2.1096287045258,4.03613765941853,3.05215419061754,2.38826358887523,-0.849599961798614,3.0655990284925,2.8113939770527,3.32184357444589,3.693834973492,2.45772510552215,2.88058282650849
"AAD021_000581",3.11247074303513,4.10968540813067,3.54337348919274,3.54723722748604,3.25267275161443,3.93463791532804,2.1101329911614,4.49673724036164,3.52903847755092,-0.849599961798614,3.29828384275495,3.234535746233,4.5482856539692,4.40638279846418,4.05573681973857,2.06505176267449
"AAD021_000582",3.11247074303513,2.74175328802519,4.00654419642348,2.6701298646917,2.82881686632005,3.44804205860155,3.17703607142612,3.54080544978029,2.38826358887523,-0.849599961798614,3.29828384275495,3.5607508395755,2.681239002354,3.82912711367834,3.79199352432508,3.77401701816717
"AAD021_000583",5.13691825939851,4.5168512487857,3.92508165742164,-0.849599961798614,3.25267275161443,2.43903669972379,2.68163125839214,2.50716840053826,3.2396583879203,-0.849599961798614,1.98242556601149,1.76586128137706,3.18655649211344,2.93203495591717,2.45772510552215,4.32075268947775
"AAD021_000588",3.11247074303513,2.88681452308666,1.46515290388104,4.08762225039852,-0.849599961798614,-0.849599961798614,0.857137748069196,4.35370370549197,-0.849599961798614,-0.849599961798614,3.29828384275495,4.63876838388723,2.20515063365825,3.37775306207089,3.53948524838306,4.71610311399553
"AAD021_000603",3.63768765749033,3.13902426977612,2.19144836472155,2.6701298646917,1.7805586156567,3.58598413771719,4.10742114984453,2.40894805354742,3.52903847755092,3.55512843459459,3.29828384275495,2.20643179147594,2.87026501405559,1.7426194667095,3.05088396244325,2.06505176267449
"AAD021_000605",3.63768765749033,3.35337342163998,4.15681959710968,2.6701298646917,3.05639514189137,2.93055671484242,2.63382065135843,4.23093276544849,3.2396583879203,4.48784564367212,3.67403672735178,4.41533604200967,2.20515063365825,4.06664281356079,4.73478913660404,2.06505176267449
"AAD021_000620",5.28443089992697,6.42935294447218,6.46523427122864,5.75856711647771,6.27033212198172,5.44980824077199,5.51734683574106,5.69086785307751,5.19642237913543,7.01297201140625,5.70590622307252,5.45841245675835,6.29852772454723,5.22928204263459,5.41699720622967,5.0260254439359
"AAD021_000623",3.63768765749033,2.88681452308666,2.19144836472155,4.78741067969729,-0.849599961798614,1.67737187293042,0.614777869534984,2.38328744111986,-0.849599961798614,-0.849599961798614,6.23947875127504,2.20643179147594,4.5482856539692,1.91852443398021,2.30221902780148,2.06505176267449
"AAD021_000625",4.57410236965758,4.32760710690195,4.4755472770705,5.04092536618427,4.16994352851913,3.93463791532804,4.51375288094223,4.32731129220243,4.46054371068044,5.04931403649902,3.97162357888126,4.94803983799481,4.37293469493851,4.51729577452728,3.79199352432508,4.87937652594356
"AAD021_000626",-0.849599961798614,3.13902426977612,3.17110242338522,4.08762225039852,3.05639514189137,1.67737187293042,3.08084116129755,2.9688938415976,3.7697658910408,3.55512843459459,1.98242556601149,2.54098378552362,3.32184357444589,2.61829532989008,3.23289400299541,3.77401701816717
"AAD021_000633",-0.849599961798614,4.22276432479324,2.85527011106922,4.08762225039852,2.2224700109593,3.29541816972964,3.15020515214682,2.59901273169614,4.31639107937332,4.48784564367212,2.78754196965954,3.5607508395755,4.02285611665401,2.97170799235232,2.84227379352196,2.88058282650849
"AAD021_000634",5.28443089992697,3.53981089158656,2.66656282003973,6.2355928726711,3.57932458454776,4.98586973307416,4.94172828296136,4.11996925441155,4.71168293113162,-0.849599961798614,5.05382710845528,3.5607508395755,6.42373728044172,5.31618544747614,6.39831981856659,5.0260254439359
"AAD021_000641",4.32411865279572,4.56051862665385,4.08364185478927,4.08762225039852,2.55784646883169,2.70593669142827,3.34016315756953,4.02459796032571,3.52903847755092,-0.849599961798614,3.67403672735178,3.5607508395755,3.18655649211344,3.82912711367834,3.90335592441604,4.0731878158956
"AAD021_000643",4.32411865279572,3.01847583502921,4.41719512074258,-0.849599961798614,3.05639514189137,3.44804205860155,3.18366596795755,5.30132691485967,2.38826358887523,-0.849599961798614,3.67403672735178,4.56807137792071,4.43378720892568,4.99072741698168,4.57593682019607,4.32075268947775
"AAD021_000644",2.2730203786878,2.39785397172041,2.44888836757141,3.54723722748604,1.7805586156567,2.93055671484242,3.27959918474371,4.18021180451637,2.87661873293517,3.55512843459459,3.29828384275495,2.20643179147594,4.2429287799067,3.54447251905873,2.72528467607363,3.77401701816717
"AAD021_000649",4.78706495635791,4.56051862665385,4.915637012037,4.78741067969729,4.16994352851913,5.5201917613404,4.82823751152633,4.54333667845211,5.42441344610586,3.55512843459459,4.2180896694493,4.56807137792071,4.7531460037625,5.05646371260429,4.70438847550334,3.77401701816717
"AAD021_000654",4.02144634602583,3.13902426977612,3.54337348919274,3.54723722748604,1.12169897189107,2.1096287045258,1.72212451719986,3.94867916936171,2.38826358887523,-0.849599961798614,3.0655990284925,3.5607508395755,4.30939794661966,3.49102228211924,4.64159319190548,4.0731878158956
