"","GPNJ7M_11_sample_2C","GPNJ7M_12_sample_2D","GPNJ7M_14_sample_2F","GPNJ7M_15_sample_2G","GPNJ7M_16_sample_2H","GPNJ7M_1_sample_1A","GPNJ7M_2_sample_1B","GPNJ7M_4_sample_1D","GPNJ7M_5_sample_1E","GPNJ7M_6_sample_1F","GPNJ7M_7_sample_1G","GPNJ7M_8_sample_1H"
"AAD021_007899",4.51570965755939,4.85816074920731,4.95869150023189,4.80397681511126,4.05231277537256,3.60330822600464,5.89874381498568,4.42155595573757,4.99593776997874,5.08029346645394,4.44583513195523,4.82427724208901
"AAD021_007909",3.43776936621183,4.77847900212302,3.88115099911345,4.70697775970025,3.40181143324194,3.58414041993319,4.86777549021084,3.40002281722952,4.27063895736491,3.11752393981896,3.14518537716473,4.12031932029461
"AAD021_007916",3.43776936621183,3.74236006728028,4.38417828719491,3.52827685908055,4.59253827870176,5.08577560570402,4.4308238594698,2.96362573277677,3.91508274581449,5.26776279380751,4.44583513195523,4.48339200451416
"AAD021_007934",6.93269468357865,6.73878914177436,7.16194241046231,7.68352916997345,6.67751353594498,6.10554646873351,7.70079056904577,6.07351531922416,6.71824691601567,6.3901066373897,6.2646854360936,5.59019701727327
"AAD021_007935",2.21610893827559,3.3552181548587,3.09375155748527,2.00301407994545,3.23425144232231,4.64764848612998,2.62067796923318,3.40002281722952,4.10391592131074,4.18265213321939,4.3044794896935,3.63190692169442
"AAD021_007937",8.61605516282562,8.45517270806724,7.87590230851675,7.76991404222595,6.9074757599116,7.16359343850212,7.70079056904577,7.51856038282411,7.09517028652088,7.36760644074681,6.9717597073718,6.72341046299604
"AAD021_007940",2.84157593141221,0.393138807152526,6.73505335579041,4.70697775970025,8.52799978604404,2.26411399231558,5.34436974042002,0.393138807152526,0.393138807152526,1.89781833063865,2.31658708964064,3.84781002251846
"AAD021_007946",6.52783268658047,7.50344958601552,6.28528659437144,6.39491962295739,6.13745550428613,5.75357947363154,6.43130848672492,5.75089670752971,6.43342993139192,5.71707904314835,5.97817731897745,6.76344416065378
"AAD021_007952",5.84777263162702,4.85816074920731,6.16750278046535,6.15912721621026,6.34197821152721,5.13873884534633,6.15136555008904,5.12720355408548,5.17422217188859,6.61381898127162,4.63472306571006,4.6639339296443
"AAD021_007955",4.72639513984892,4.60448077708536,4.51896161711854,4.98029348803901,5.30115673694845,4.60116222486669,4.66586884887961,4.22655402767029,4.79237392114033,5.26776279380751,3.57728639331107,4.27677218210017
"AAD021_007957",3.7285941473766,3.11227138339045,4.38417828719491,2.97140156493069,4.71567062095081,4.01358635547611,3.79861771303625,2.3154883718827,3.12353916207889,4.70055757453579,3.61800322698038,3.63190692169442
"AAD021_007960",4.35580943117313,3.90225637292884,4.95869150023189,3.74095547899667,3.42940061168788,5.80768570127631,4.14946488985269,5.23460983381566,3.43958375527462,7.25402433085767,4.8699790839899,4.48339200451416
"AAD021_007962",4.35580943117313,4.508869304133,3.66427996827843,4.80397681511126,4.13210727688697,3.58414041993319,4.4308238594698,4.00065551670751,4.27063895736491,4.18265213321939,4.44583513195523,3.74397202605415
"AAD021_007963",5.47350506294284,6.93492405571027,4.75559568073262,5.20985418538364,4.14315057378797,6.24176032761931,4.86777549021084,5.88872268968087,6.28621351262246,6.65914882250765,4.4900137632454,6.30209821846355
"AAD021_007982",4.35580943117313,4.04596037477905,4.51896161711854,4.23604130027947,4.20767392382667,3.99926186590569,4.4308238594698,4.59315467557982,3.91508274581449,4.61088153843418,3.73354622016468,3.22947741742413
"AAD021_007987",5.1233515061666,6.38319742665213,5.62805273173437,3.74095547899667,4.79109060100085,5.692945493295,4.86777549021084,4.00065551670751,5.40602983241446,5.2079462963942,5.40697937328102,5.81011271269513
"AAD021_008005",4.0764444800277,3.74236006728028,4.64215185021664,4.08934415800992,3.40181143324194,4.04181012566118,4.14946488985269,4.22655402767029,4.10391592131074,4.61088153843418,4.74810727838007,3.94456388983438
"AAD021_008006",3.43776936621183,2.43786452024297,2.68561020213455,4.49077344809039,3.21314276373508,2.93192109734483,4.14946488985269,0.393138807152526,4.27063895736491,2.44221569824233,3.08770108435349,3.22947741742413
"AAD021_008013",3.7285941473766,4.508869304133,4.86072915875452,4.08934415800992,3.60868215437406,3.13260342727949,3.33109351143865,4.00065551670751,2.71247592773776,4.61088153843418,2.75721742249446,3.74397202605415
"AAD021_008018",4.51570965755939,4.93365468683812,4.64215185021664,3.52827685908055,5.52355137992725,5.74507212946295,5.04477331559687,5.59848002585215,6.28621351262246,6.61381898127162,6.0011851082767,6.50465541366647
