"module","gene","module_membership"
"grey60","AAD021_000342",0.85
"grey60","AAD021_002513",0.849
"grey60","AAD021_001606",0.848
"royalblue","AAD021_008957",0.965
"royalblue","AAD021_003217",0.964
"royalblue","AAD021_003844",0.937
"royalblue","AAD021_007845",0.934
"royalblue","AAD021_004207",0.928
"royalblue","AAD021_003920",0.917
"royalblue","AAD021_001522",0.911
"royalblue","AAD021_002696",0.905
"royalblue","AAD021_003880",0.904
"royalblue","AAD021_002650",0.898
"royalblue","AAD021_007419",0.893
"royalblue","AAD021_005851",0.891
"royalblue","AAD021_010029",0.891
"royalblue","AAD021_002652",0.891
"royalblue","AAD021_004590",0.888
"royalblue","AAD021_001192",0.882
"royalblue","AAD021_004409",0.88
"royalblue","AAD021_007730",0.876
"royalblue","AAD021_000261",0.875
"royalblue","AAD021_000744",0.861
"orangered4","AAD021_011817",0.961
"orangered4","AAD021_004042",0.902
"orangered4","AAD021_003325",0.9
"orangered4","AAD021_002233",0.896
"orangered4","AAD021_004005",0.877
"orangered4","AAD021_002786",0.868
"orangered4","AAD021_000010",0.863
"orangered4","AAD021_006009",0.85
"orangered4","AAD021_004178",0.848
"orangered4","AAD021_005245",0.847
"orangered4","AAD021_000815",0.832
"orangered4","AAD021_003562",0.828
"orangered4","AAD021_002047",0.817
"orangered4","AAD021_011101",0.811
"orangered4","AAD021_010882",0.794
"orangered4","AAD021_009160",0.793
"orangered4","AAD021_002469",0.78
"orangered4","AAD021_003618",0.763
"orangered4","AAD021_005010",0.761
"orangered4","AAD021_003857",0.74
"white","AAD021_008835",0.948
"white","AAD021_008117",0.933
"white","AAD021_006898",0.916
"white","AAD021_007894",0.905
"white","AAD021_004540",0.902
"white","AAD021_002817",0.898
"white","AAD021_001033",0.895
"white","AAD021_012604",0.894
"white","AAD021_002557",0.883
"white","AAD021_002284",0.879
"white","AAD021_011254",0.869
"white","AAD021_006154",0.867
"white","AAD021_010620",0.859
"white","AAD021_011022",0.857
"white","AAD021_000331",0.853
"white","AAD021_008862",0.843
"white","AAD021_010831",0.835
"white","AAD021_004482",0.832
"white","AAD021_012138",0.83
"white","AAD021_007536",0.825
"cyan","AAD021_007696",0.982
"cyan","AAD021_008745",0.971
"cyan","AAD021_003882",0.962
"cyan","AAD021_009142",0.96
"cyan","AAD021_010479",0.948
"cyan","AAD021_009869",0.942
"cyan","AAD021_009003",0.941
"cyan","AAD021_008051",0.938
"cyan","AAD021_011216",0.935
"cyan","AAD021_004391",0.933
"cyan","AAD021_001303",0.93
"cyan","AAD021_011639",0.93
"cyan","AAD021_010075",0.929
"cyan","AAD021_007754",0.92
"cyan","AAD021_003120",0.918
"cyan","AAD021_005201",0.911
"cyan","AAD021_008047",0.91
"cyan","AAD021_001598",0.904
"cyan","AAD021_009210",0.902
"cyan","AAD021_001081",0.9
"yellowgreen","AAD021_004279",0.921
"yellowgreen","AAD021_008542",0.915
"yellowgreen","AAD021_001483",0.908
"yellowgreen","AAD021_004350",0.898
"yellowgreen","AAD021_007954",0.896
"yellowgreen","AAD021_001617",0.895
"yellowgreen","AAD021_002643",0.89
"yellowgreen","AAD021_011038",0.876
"yellowgreen","AAD021_002577",0.874
"yellowgreen","AAD021_007684",0.863
"yellowgreen","AAD021_009940",0.86
"yellowgreen","AAD021_006786",0.853
"yellowgreen","AAD021_002294",0.843
"yellowgreen","AAD021_004923",0.842
"yellowgreen","AAD021_002465",0.83
"yellowgreen","AAD021_007344",0.825
"yellowgreen","AAD021_000755",0.82
"yellowgreen","AAD021_000326",0.818
"yellowgreen","AAD021_008261",0.806
"yellowgreen","AAD021_000941",0.802
"steelblue","AAD021_007197",0.982
"steelblue","AAD021_002500",0.945
"steelblue","AAD021_000402",0.937
"steelblue","AAD021_008341",0.929
"steelblue","AAD021_004093",0.923
"steelblue","AAD021_002349",0.922
"steelblue","AAD021_002636",0.919
"steelblue","AAD021_002808",0.917
"steelblue","AAD021_009273",0.911
"steelblue","AAD021_003265",0.902
"steelblue","AAD021_005238",0.898
"steelblue","AAD021_003436",0.894
"steelblue","AAD021_004164",0.893
"steelblue","AAD021_006363",0.891
"steelblue","AAD021_005058",0.884
"steelblue","AAD021_009643",0.859
"steelblue","AAD021_002326",0.854
"steelblue","AAD021_005455",0.854
"steelblue","AAD021_003058",0.849
"steelblue","AAD021_010066",0.828
"darkturquoise","AAD021_004366",0.943
"darkturquoise","AAD021_012349",0.91
"darkturquoise","AAD021_010300",0.908
"darkturquoise","AAD021_004921",0.899
"darkturquoise","AAD021_006576",0.895
"darkturquoise","AAD021_000618",0.886
"darkturquoise","AAD021_010641",0.881
"darkturquoise","AAD021_007657",0.878
"darkturquoise","AAD021_009252",0.869
"darkturquoise","AAD021_001128",0.865
"darkturquoise","AAD021_000927",0.863
"darkturquoise","AAD021_001642",0.863
"darkturquoise","AAD021_002953",0.86
"darkturquoise","AAD021_010347",0.859
"darkturquoise","AAD021_007066",0.857
"darkturquoise","AAD021_000860",0.855
"darkturquoise","AAD021_003063",0.854
"darkturquoise","AAD021_002728",0.849
"darkturquoise","AAD021_007760",0.844
"darkturquoise","AAD021_002471",0.844
"darkorange","AAD021_004124",0.953
"darkorange","AAD021_012221",0.949
"darkorange","AAD021_003207",0.935
"darkorange","AAD021_004645",0.91
"darkorange","AAD021_001199",0.903
"darkorange","AAD021_003782",0.896
"darkorange","AAD021_008517",0.895
"darkorange","AAD021_008315",0.888
"darkorange","AAD021_011066",0.886
"darkorange","AAD021_008269",0.882
"darkorange","AAD021_006417",0.881
"darkorange","AAD021_007385",0.881
"darkorange","AAD021_005300",0.878
"darkorange","AAD021_011651",0.869
"darkorange","AAD021_001070",0.864
"darkorange","AAD021_004690",0.857
"darkorange","AAD021_005977",0.846
"darkorange","AAD021_011181",0.838
"darkorange","AAD021_002323",0.834
"darkorange","AAD021_009348",0.823
"darkgrey","AAD021_011034",0.949
"darkgrey","AAD021_003341",0.902
"darkgrey","AAD021_006911",0.888
"darkgrey","AAD021_000607",0.873
"darkgrey","AAD021_000853",0.873
"darkgrey","AAD021_003324",0.871
"darkgrey","AAD021_000974",0.867
"darkgrey","AAD021_004215",0.866
"darkgrey","AAD021_008040",0.854
"darkgrey","AAD021_005948",0.852
"darkgrey","AAD021_008084",0.851
"darkgrey","AAD021_000226",0.846
"darkgrey","AAD021_002788",0.829
"darkgrey","AAD021_001380",0.828
"darkgrey","AAD021_005831",0.826
"darkgrey","AAD021_003790",0.825
"darkgrey","AAD021_003848",0.825
"darkgrey","AAD021_008383",0.817
"darkgrey","AAD021_008622",0.808
"darkgrey","AAD021_001356",0.799
"lightsteelblue1","AAD021_005940",0.931
"lightsteelblue1","AAD021_003746",0.913
"lightsteelblue1","AAD021_000345",0.907
"lightsteelblue1","AAD021_011641",0.906
"lightsteelblue1","AAD021_004481",0.899
"lightsteelblue1","AAD021_002689",0.891
"lightsteelblue1","AAD021_011824",0.882
"lightsteelblue1","AAD021_011261",0.868
"lightsteelblue1","AAD021_009255",0.846
"lightsteelblue1","AAD021_008652",0.845
"lightsteelblue1","AAD021_004355",0.842
"lightsteelblue1","AAD021_001282",0.84
"lightsteelblue1","AAD021_007415",0.828
"lightsteelblue1","AAD021_007109",0.826
"lightsteelblue1","AAD021_009013",0.824
"lightsteelblue1","AAD021_004552",0.804
"lightsteelblue1","AAD021_003353",0.798
"lightsteelblue1","AAD021_010937",0.797
"lightsteelblue1","AAD021_003712",0.796
"lightsteelblue1","AAD021_000052",0.789
"skyblue","AAD021_008241",0.942
"skyblue","AAD021_008406",0.917
"skyblue","AAD021_010254",0.917
"skyblue","AAD021_012018",0.915
"skyblue","AAD021_001503",0.904
"skyblue","AAD021_002943",0.88
"skyblue","AAD021_002462",0.87
"skyblue","AAD021_002791",0.867
"skyblue","AAD021_009221",0.865
"skyblue","AAD021_002104",0.864
"skyblue","AAD021_000748",0.856
"skyblue","AAD021_005248",0.848
"skyblue","AAD021_004841",0.843
"skyblue","AAD021_007452",0.839
"skyblue","AAD021_008073",0.829
"skyblue","AAD021_000955",0.828
"skyblue","AAD021_007305",0.828
"skyblue","AAD021_002932",0.826
"skyblue","AAD021_008968",0.822
"skyblue","AAD021_005295",0.82
"orange","AAD021_001543",0.977
"orange","AAD021_004905",0.952
"orange","AAD021_009790",0.934
"orange","AAD021_002553",0.904
"orange","AAD021_001921",0.894
"orange","AAD021_002396",0.892
"orange","AAD021_002519",0.884
"orange","AAD021_006740",0.884
"orange","AAD021_011655",0.883
"orange","AAD021_003112",0.88
"orange","AAD021_001178",0.877
"orange","AAD021_009545",0.875
"orange","AAD021_004650",0.874
"orange","AAD021_008050",0.849
"orange","AAD021_010306",0.846
"orange","AAD021_004227",0.844
"orange","AAD021_006489",0.841
"orange","AAD021_005008",0.838
"orange","AAD021_008796",0.833
"orange","AAD021_002663",0.831
"skyblue3","AAD021_008279",0.972
