"gene","module"
"AAD021_010904","lightyellow"
"AAD021_010905","turquoise"
"AAD021_010908","grey"
"AAD021_010909","grey"
"AAD021_010911","darkmagenta"
"AAD021_010912","yellow"
"AAD021_010915","lightcyan"
"AAD021_010916","red"
"AAD021_010919","tan"
"AAD021_010920","purple"
"AAD021_010921","brown"
"AAD021_010922","brown"
"AAD021_010923","turquoise"
"AAD021_010928","red"
"AAD021_010935","yellow"
"AAD021_010937","lightsteelblue1"
"AAD021_010939","tan"
"AAD021_010940","tan"
"AAD021_010941","grey60"
"AAD021_010942","blue"
"AAD021_010943","orangered4"
"AAD021_010944","brown"
"AAD021_010950","turquoise"
"AAD021_010952","black"
"AAD021_010954","cyan"
"AAD021_010957","royalblue"
"AAD021_010958","red"
"AAD021_010960","mediumpurple3"
"AAD021_010962","skyblue3"
"AAD021_010971","grey"
"AAD021_010974","yellow"
"AAD021_010975","turquoise"
"AAD021_010976","green"
"AAD021_010978","pink"
"AAD021_010982","magenta"
"AAD021_010986","salmon"
"AAD021_010989","darkgreen"
"AAD021_010990","purple"
"AAD021_010993","turquoise"
"AAD021_010995","pink"
"AAD021_010996","purple"
"AAD021_011002","white"
"AAD021_011003","brown"
"AAD021_011004","orangered4"
"AAD021_011006","lightyellow"
"AAD021_011010","brown"
"AAD021_011013","darkgreen"
"AAD021_011014","darkgreen"
"AAD021_011015","darkmagenta"
"AAD021_011016","darkorange"
"AAD021_011017","pink"
"AAD021_011019","grey"
"AAD021_011020","magenta"
"AAD021_011022","white"
"AAD021_011024","green"
"AAD021_011028","black"
"AAD021_011030","saddlebrown"
"AAD021_011031","red"
"AAD021_011032","red"
"AAD021_011033","greenyellow"
"AAD021_011034","darkgrey"
"AAD021_011035","red"
"AAD021_011036","darkred"
"AAD021_011038","yellowgreen"
"AAD021_011039","orangered4"
"AAD021_011041","darkred"
"AAD021_011043","cyan"
"AAD021_011044","purple"
"AAD021_011045","lightcyan"
"AAD021_011046","lightcyan"
"AAD021_011047","lightcyan"
"AAD021_011048","turquoise"
"AAD021_011059","brown"
"AAD021_011060","grey"
"AAD021_011061","grey60"
"AAD021_011062","orange"
"AAD021_011063","yellow"
"AAD021_011064","turquoise"
"AAD021_011065","darkred"
"AAD021_011066","darkorange"
"AAD021_011072","green"
"AAD021_011073","turquoise"
"AAD021_011074","darkgrey"
"AAD021_011075","royalblue"
"AAD021_011089","skyblue3"
"AAD021_011090","greenyellow"
"AAD021_011091","lightyellow"
"AAD021_011092","red"
"AAD021_011093","tan"
"AAD021_011094","cyan"
"AAD021_011095","lightyellow"
"AAD021_011096","blue"
"AAD021_011097","turquoise"
"AAD021_011098","lightcyan"
"AAD021_011101","orangered4"
"AAD021_011106","greenyellow"
"AAD021_011113","green"
"AAD021_011116","brown"
"AAD021_011118","green"
"AAD021_011125","blue"
"AAD021_011127","blue"
"AAD021_011131","brown"
"AAD021_011135","salmon"
"AAD021_011136","red"
"AAD021_011140","turquoise"
"AAD021_011142","black"
"AAD021_011147","cyan"
"AAD021_011150","blue"
"AAD021_011151","tan"
"AAD021_011158","brown"
"AAD021_011164","blue"
"AAD021_011174","salmon"
"AAD021_011178","lightgreen"
"AAD021_011181","darkorange"
"AAD021_011198","tan"
"AAD021_011202","darkred"
"AAD021_011206","pink"
"AAD021_011208","yellow"
"AAD021_011209","pink"
"AAD021_011210","blue"
"AAD021_011213","brown"
"AAD021_011216","cyan"
"AAD021_011217","grey"
"AAD021_011231","black"
"AAD021_011232","blue"
"AAD021_011240","pink"
"AAD021_011242","blue"
"AAD021_011244","royalblue"
"AAD021_011248","saddlebrown"
"AAD021_011249","blue"
"AAD021_011252","steelblue"
"AAD021_011253","turquoise"
"AAD021_011254","white"
"AAD021_011259","turquoise"
"AAD021_011260","salmon"
"AAD021_011261","lightsteelblue1"
"AAD021_011262","lightcyan"
"AAD021_011265","tan"
"AAD021_011266","black"
"AAD021_011281","black"
"AAD021_011285","white"
"AAD021_011287","blue"
"AAD021_011307","purple"
"AAD021_010183","black"
"AAD021_010184","blue"
"AAD021_010185","darkorange"
"AAD021_010187","lightyellow"
"AAD021_010188","blue"
"AAD021_010193","midnightblue"
"AAD021_010208","black"
"AAD021_010209","brown"
"AAD021_010217","turquoise"
"AAD021_010221","lightyellow"
"AAD021_010222","turquoise"
"AAD021_010225","yellow"
"AAD021_010226","blue"
"AAD021_010227","magenta"
"AAD021_010228","black"
"AAD021_010229","purple"
"AAD021_010230","turquoise"
"AAD021_010231","brown"
"AAD021_010232","paleturquoise"
"AAD021_010243","green"
"AAD021_010244","cyan"
"AAD021_010245","paleturquoise"
"AAD021_010246","grey"
"AAD021_010247","turquoise"
"AAD021_010248","purple"
"AAD021_010249","yellow"
"AAD021_010251","red"
"AAD021_010254","skyblue"
"AAD021_010265","red"
"AAD021_010272","turquoise"
"AAD021_010273","lightcyan"
"AAD021_010274","turquoise"
"AAD021_010276","turquoise"
"AAD021_010280","darkorange"
"AAD021_010281","blue"
"AAD021_010287","green"
"AAD021_010288","darkmagenta"
"AAD021_010289","cyan"
"AAD021_010290","pink"
"AAD021_010291","darkred"
"AAD021_010293","lightyellow"
"AAD021_010294","blue"
"AAD021_010299","yellow"
"AAD021_010300","darkturquoise"
"AAD021_010306","orange"
"AAD021_010307","darkmagenta"
"AAD021_010310","lightyellow"
"AAD021_010346","yellow"
"AAD021_010347","darkturquoise"
"AAD021_010351","mediumpurple3"
"AAD021_010352","violet"
"AAD021_010353","purple"
"AAD021_010354","magenta"
"AAD021_010356","brown"
"AAD021_010359","sienna3"
"AAD021_010360","yellow"
"AAD021_010361","blue"
"AAD021_010368","lightcyan"
"AAD021_010373","greenyellow"
"AAD021_010374","grey60"
"AAD021_010376","midnightblue"
"AAD021_010377","pink"
"AAD021_010378","yellowgreen"
"AAD021_010379","purple"
"AAD021_010380","yellow"
"AAD021_010381","brown"
"AAD021_010383","black"
"AAD021_010384","darkgreen"
"AAD021_010388","turquoise"
"AAD021_010405","grey"
