"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PTI98_006043",7.25663570024478,3.37494242311122,0.920148312228564,3.66782439119758,0.00024462309491597,0.00381412335746532
"PTI98_001033",18.0564388560611,2.31119871538042,0.632000482676178,3.65695719976946,0.000255226976549683,0.00386098703812086
"PTI98_007381",6.88249123024995,3.63095799509378,0.993151954172828,3.6559944123736,0.000256186934381782,0.00386098703812086
"PTI98_010236",11.4444430763967,2.66741315671804,0.729320429142827,3.65739536441213,0.000254791217443267,0.00386098703812086
"PTI98_011112",75.1862102291873,-2.26160629120631,0.618864021688318,-3.65444784629173,0.000257736045738434,0.00386098703812086
"PTI98_000470",29.997806713073,2.34180930447283,0.642053547576308,3.6473738262376,0.000264934336415173,0.00393028801982897
"PTI98_002276",20.7129731686147,2.90596039938937,0.799249520817372,3.63586129700462,0.000277053383398684,0.00407055355608836
"PTI98_000432",41.9076323888675,5.67515940328386,1.56867962311678,3.61779379272358,0.000297124969525301,0.00432387574699676
"PTI98_000444",12.0512254939665,-3.69940918945786,1.02346937424648,-3.61457732155545,0.000300838024527637,0.00433660850451159
"PTI98_011755",23.8049243301491,-3.52484193812328,0.980530555074064,-3.59483130829822,0.000324601833208092,0.00463543552469126
"PTI98_000392",6.85670374868474,5.17510451290133,1.44176006910006,3.58943531854894,0.00033139504287864,0.0046886261622089
"PTI98_003313",26.0470744294763,2.30082602228545,0.643468199863977,3.57566391435012,0.000349340210197287,0.00489717285487573
"PTI98_006216",16.1187642895271,2.11050210907093,0.591438100156821,3.56842433470438,0.000359134535210196,0.00495206045924572
"PTI98_012885",13.3041802834994,2.20601838856505,0.618281331409846,3.56798479348348,0.000359737376293373,0.00495206045924572
"PTI98_000887",309.973159463592,-2.4455178843425,0.690433075551257,-3.54200569315128,0.000397096903620086,0.00541753632795974
"PTI98_001316",18.1625727029574,-2.55774955565866,0.724672529561392,-3.52952464916358,0.000416306921693908,0.00562935377299373
"PTI98_009758",55.6641046942639,4.85560455630257,1.38202423133752,3.51340045000754,0.000442410159929782,0.00592984845940971
"PTI98_002430",41.5922752796726,7.77820272596762,2.21788974108425,3.50702858752803,0.00045314046411022,0.00602085764487319
"PTI98_013506",105.256924511236,2.2636116004067,0.646341650057772,3.50219052138194,0.000461449519654297,0.00607840401751522
"PTI98_012126",10.1977867211238,2.686227813131,0.772117579762292,3.4790398296047,0.000503213789318609,0.00657188606904987
